貸借,対象帳票,分類,勘定科目,税区分（勘定科目と紐づく）,BSの中カテゴリ,BSの大カテゴリ,PLの大カテゴリ,CFのカテゴリ（営業 or 投資 or 財務）,収益/売上 or 費用,accountId
貸方,貸借対照表,評価・換算差額等,その他有価証券評価差額金,対象外,評価・換算差額等,純資産の部,,投資,,70
貸方,貸借対照表,評価・換算差額等,土地再評価差額金,対象外,評価・換算差額等,純資産の部,,投資,,71
貸方,貸借対照表,新株予約権,新株予約権,対象外,新株予約権,純資産の部,,投資,,72
貸方,貸借対照表,新株式申込証拠金,新株式申込証拠金,対象外,新株予約権,純資産の部,,投資,,73
貸方,貸借対照表,自己株式,自己株式,対象外,新株予約権,純資産の部,,投資,,74
貸方,貸借対照表,自己株式申込証拠金,自己株式申込証拠金,対象外,新株予約権,純資産の部,,投資,,75
,損益計算書,売上高,売上高,課売 10%,,,売上高,営業,収益/売上,76
,損益計算書,売上高,売上値引・返品,課売-返還 10%,,,売上高,営業,収益/売上,77
,損益計算書,期首棚卸高,期首商品棚卸高,対象外,,,売上原価,営業,費用,78
,損益計算書,当期仕入高,仕入高,課仕 10%,,,売上原価,営業,費用,79
,損益計算書,当期仕入高,仕入値引・返品,課仕-返還 10%,,,売上原価,営業,費用,80
,損益計算書,他勘定振替高,他勘定振替高,対象外,,,売上原価,営業,費用,81
,損益計算書,期末棚卸高,期末商品棚卸高,対象外,,,売上原価,営業,費用,82
,損益計算書,販売費及び一般管理費,役員報酬,対象外仕,,,販売費及び一般管理費,営業,費用,83
,損益計算書,販売費及び一般管理費,給料賃金,対象外仕,,,販売費及び一般管理費,営業,費用,84
,損益計算書,販売費及び一般管理費,賞与,対象外仕,,,販売費及び一般管理費,営業,費用,85
,損益計算書,販売費及び一般管理費,雑給,対象外仕,,,販売費及び一般管理費,営業,費用,86
,損益計算書,販売費及び一般管理費,退職給与,対象外仕,,,販売費及び一般管理費,営業,費用,87
,損益計算書,販売費及び一般管理費,法定福利費,対象外,,,販売費及び一般管理費,営業,費用,88
,損益計算書,販売費及び一般管理費,福利厚生費,課仕 10%,,,販売費及び一般管理費,営業,費用,89
,損益計算書,販売費及び一般管理費,研修採用費,課仕 10%,,,販売費及び一般管理費,営業,費用,90
,損益計算書,販売費及び一般管理費,業務委託料,課仕 10%,,,販売費及び一般管理費,営業,費用,91
,損益計算書,販売費及び一般管理費,荷造運賃,課仕 10%,,,販売費及び一般管理費,営業,費用,92
,損益計算書,販売費及び一般管理費,広告宣伝費,課仕 10%,,,販売費及び一般管理費,営業,費用,93
,損益計算書,販売費及び一般管理費,接待交際費,課仕 10%,,,販売費及び一般管理費,営業,費用,94
,損益計算書,販売費及び一般管理費,旅費交通費,課仕 10%,,,販売費及び一般管理費,営業,費用,95
,損益計算書,販売費及び一般管理費,通信費,課仕 10%,,,販売費及び一般管理費,営業,費用,96
,損益計算書,販売費及び一般管理費,水道光熱費,課仕 10%,,,販売費及び一般管理費,営業,費用,97
,損益計算書,販売費及び一般管理費,修繕費,課仕 10%,,,販売費及び一般管理費,営業,費用,98
,損益計算書,販売費及び一般管理費,備品・消耗品費,課仕 10%,,,販売費及び一般管理費,営業,費用,99
,損益計算書,販売費及び一般管理費,車両費,課仕 10%,,,販売費及び一般管理費,営業,費用,100
,損益計算書,販売費及び一般管理費,リース料,課仕 10%,,,販売費及び一般管理費,営業,費用,101
,損益計算書,販売費及び一般管理費,地代家賃,課仕 10%,,,販売費及び一般管理費,営業,費用,102
,損益計算書,販売費及び一般管理費,保険料,非仕,,,販売費及び一般管理費,営業,費用,103
,損益計算書,販売費及び一般管理費,租税公課,対象外,,,販売費及び一般管理費,営業,費用,104
,損益計算書,販売費及び一般管理費,支払手数料,課仕 10%,,,販売費及び一般管理費,営業,費用,105
,損益計算書,販売費及び一般管理費,支払報酬,課仕 10%,,,販売費及び一般管理費,営業,費用,106
,損益計算書,販売費及び一般管理費,会議費,課仕 10%,,,販売費及び一般管理費,営業,費用,107
,損益計算書,販売費及び一般管理費,寄付金,対象外,,,販売費及び一般管理費,営業,費用,108
,損益計算書,販売費及び一般管理費,新聞図書費,課仕 10%,,,販売費及び一般管理費,営業,費用,109
,損益計算書,販売費及び一般管理費,減価償却費,対象外,,,販売費及び一般管理費,営業,費用,110
,損益計算書,販売費及び一般管理費,繰延資産償却,対象外,,,販売費及び一般管理費,営業,費用,111
,損益計算書,販売費及び一般管理費,貸倒引当金繰入額,対象外,,,販売費及び一般管理費,営業,費用,112
,損益計算書,販売費及び一般管理費,貸倒損失,課売-貸倒 10%,,,販売費及び一般管理費,営業,費用,113
,損益計算書,販売費及び一般管理費,雑費,課仕 10%,,,販売費及び一般管理費,営業,費用,114
,損益計算書,営業外収益,受取利息,非売,,,営業外収益,財務,収益/売上,115
,損益計算書,営業外収益,受取配当金,対象外売,,,営業外収益,投資,収益/売上,116
,損益計算書,営業外収益,貸倒引当金戻入額,対象外,,,営業外収益,投資,収益/売上,117
,損益計算書,営業外収益,雑収入,課売 10%,,,営業外収益,投資,収益/売上,118
,損益計算書,営業外収益,有価証券売却益,非売-有証,,,営業外収益,投資,収益/売上,119
,損益計算書,営業外収益,仕入割引,課仕-返還 10%,,,営業外収益,投資,収益/売上,120
,損益計算書,営業外費用,支払利息,対象外,,,営業外費用,財務,費用,121
,損益計算書,営業外費用,雑損失,課仕 10%,,,営業外費用,投資,費用,122
,損益計算書,営業外費用,有価証券売却損,対象外,,,営業外費用,投資,費用,123
,損益計算書,営業外費用,売上割引,課売-返還 10%,,,営業外費用,投資,費用,124
,損益計算書,特別利益,前期損益修正益,対象外,,,特別利益,投資,収益/売上,125
,損益計算書,特別利益,固定資産売却益,対象外,,,特別利益,投資,収益/売上,126
,損益計算書,特別利益,投資有価証券売却益,対象外,,,特別利益,投資,収益/売上,127
,損益計算書,特別損失,前期損益修正損,対象外,,,特別損失,投資,費用,128
,損益計算書,特別損失,固定資産売却損,対象外,,,特別損失,投資,費用,129
,損益計算書,特別損失,投資有価証券売却損,対象外,,,特別損失,投資,費用,130
,損益計算書,法人税等,法人税等,対象外,,,税金,営業,費用,131
,損益計算書,法人税等調整額,法人税等調整額,対象外,,,法人税等調整額,営業,費用,132
,その他,その他,その他,対象外,,,,,,133
借方,貸借対照表,その他流動資産,未収保険料,課売 10%,流動資産,資産の部,,投資,収益/売上,134
借方,貸借対照表,その他流動資産,工具、器具及び備品,課仕 10%,流動資産,資産の部,,営業,費用,135
借方,貸借対照表,その他流動資産,のれん,対象外,流動資産,資産の部,,投資,,136
借方,貸借対照表,その他流動資産,供託金,対象外,流動資産,資産の部,,投資,,137
借方,貸借対照表,その他流動資産,前受保険料,対象外,流動資産,資産の部,,投資,,138
借方,貸借対照表,その他流動資産,支払備金,対象外,流動資産,資産の部,,投資,,139
借方,貸借対照表,その他流動資産,責任準備金,対象外,流動資産,資産の部,,投資,,140
借方,貸借対照表,その他流動資産,代理店借,対象外,流動資産,資産の部,,投資,,141
借方,貸借対照表,その他流動資産,保険料収入,対象外,流動資産,資産の部,,投資,,142
借方,貸借対照表,その他流動資産,その他返戻金,対象外,流動資産,資産の部,,投資,,143
借方,貸借対照表,その他流動資産,繰延税金資産,対象外,流動資産,資産の部,,財務,投資,144
,損益計算書,販売費及び一般管理費,保険金,課仕 10%,,,販売費及び一般管理費,営業,費用,145
,損益計算書,販売費及び一般管理費,代理店募集手数料,課仕 10%,,,販売費及び一般管理費,営業,費用,146
,損益計算書,販売費及び一般管理費,保険料集金手数料,課仕 10%,,,販売費及び一般管理費,営業,費用,147
,損益計算書,販売費及び一般管理費,損害調査費,課仕 10%,,,販売費及び一般管理費,営業,費用,148
,損益計算書,販売費及び一般管理費,システム関連費用,課仕 10%,,,販売費及び一般管理費,営業,費用,149
,損益計算書,販売費及び一般管理費,運賃,課仕 10%,,,販売費及び一般管理費,営業,費用,150
,損益計算書,販売費及び一般管理費,顧問料,課仕 10%,,,販売費及び一般管理費,営業,費用,151
,損益計算書,販売費及び一般管理費,人材登用費,課仕 10%,,,販売費及び一般管理費,営業,費用,152
,損益計算書,販売費及び一般管理費,給料手当,対象外,,,販売費及び一般管理費,営業,費用,153
,損益計算書,販売費及び一般管理費,通勤手当,課仕 10%,,,販売費及び一般管理費,営業,費用,154
,損益計算書,販売費及び一般管理費,賃借料,課仕 10%,,,販売費及び一般管理費,営業,費用,155
,損益計算書,販売費及び一般管理費,事務用品費,課仕 10%,,,販売費及び一般管理費,営業,費用,156
,損益計算書,販売費及び一般管理費,消耗品費,課仕 10%,,,販売費及び一般管理費,営業,費用,157
,損益計算書,販売費及び一般管理費,諸会費,課仕 10%,,,販売費及び一般管理費,営業,費用,158
,損益計算書,販売費及び一般管理費,業務委託費,課仕 10%,,,販売費及び一般管理費,営業,費用,159
,損益計算書,販売費及び一般管理費,研修費,課仕 10%,,,販売費及び一般管理費,営業,費用,160
,損益計算書,販売費及び一般管理費,諸口,課仕 10%,,,販売費及び一般管理費,営業,費用,161
,損益計算書,営業外収益,給付金,課売 10%,,,営業外収益,投資,収益/売上,162
,損益計算書,営業外費用,延滞利息,対象外,,,営業外費用,財務,費用,163
,損益計算書,法人税等,法人税、住民税及び事業税,対象外,,,税金,営業,費用,164
